,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
0,Zentrum,Persoenliches Einkommen,2011,"1119,47039665305"
1,Zentrum-Ost,Persoenliches Einkommen,2011,"1265,99205817462"
2,Zentrum-Suedost,Persoenliches Einkommen,2011,"951,277296249952"
3,Zentrum-Sued,Persoenliches Einkommen,2011,"1180,7159897981"
4,Zentrum-West,Persoenliches Einkommen,2011,"1213,21350451776"
5,Zentrum-Nordwest,Persoenliches Einkommen,2011,"1405,6300418508"
6,Zentrum-Nord,Persoenliches Einkommen,2011,"1084,97325293465"
7,Schoenefeld-Abtnaundorf,Persoenliches Einkommen,2011,"975,37098789051"
8,Schoenefeld-Ost,Persoenliches Einkommen,2011,"974,202607787242"
9,Mockau-Sued,Persoenliches Einkommen,2011,"972,210381412116"
10,Mockau-Nord,Persoenliches Einkommen,2011,"931,158517991913"
11,Thekla,Persoenliches Einkommen,2011,"1109,92193541225"
12,Plaussig-Portitz,Persoenliches Einkommen,2011,"1149,51537354595"
13,Neustadt-Neuschoenefeld,Persoenliches Einkommen,2011,"796,53307517394"
14,Volkmarsdorf,Persoenliches Einkommen,2011,"760,269113556662"
15,Anger-Crottendorf,Persoenliches Einkommen,2011,"1036,08326643794"
16,Sellerhausen-Stuenz,Persoenliches Einkommen,2011,"966,031591614398"
17,Paunsdorf,Persoenliches Einkommen,2011,"952,221711507292"
18,Heiterblick,Persoenliches Einkommen,2011,"1290,13999439191"
19,Moelkau,Persoenliches Einkommen,2011,"1210,10125715544"
20,Engelsdorf,Persoenliches Einkommen,2011,"1172,7805470797"
21,Baalsdorf,Persoenliches Einkommen,2011,"1187,2629588148"
22,Althen-Kleinpoesna,Persoenliches Einkommen,2011,"1142,1556754857"
23,Reudnitz-Thonberg,Persoenliches Einkommen,2011,"854,039697968048"
24,Stoetteritz,Persoenliches Einkommen,2011,"1049,7576702688"
25,Probstheida,Persoenliches Einkommen,2011,"1106,592797064"
26,Meusdorf,Persoenliches Einkommen,2011,"988,702247739471"
