Jahr;Gebiet;Sachmerkmal;Nettoeinkommen
2011;Zentrum;Persoenliches Einkommen;1119,47039665305
2011;Zentrum-Ost;Persoenliches Einkommen;1265,99205817462
2011;Zentrum-Suedost;Persoenliches Einkommen;951,277296249952
2011;Zentrum-Sued;Persoenliches Einkommen;1180,7159897981
2011;Zentrum-West;Persoenliches Einkommen;1213,21350451776
2011;Zentrum-Nordwest;Persoenliches Einkommen;1405,6300418508
2011;Zentrum-Nord;Persoenliches Einkommen;1084,97325293465
2011;Schoenefeld-Abtnaundorf;Persoenliches Einkommen;975,37098789051
2011;Schoenefeld-Ost;Persoenliches Einkommen;974,202607787242
2011;Mockau-Sued;Persoenliches Einkommen;972,210381412116
2011;Mockau-Nord;Persoenliches Einkommen;931,158517991913
2011;Thekla;Persoenliches Einkommen;1109,92193541225
2011;Plaussig-Portitz;Persoenliches Einkommen;1149,51537354595
2011;Neustadt-Neuschoenefeld;Persoenliches Einkommen;796,53307517394
2011;Volkmarsdorf;Persoenliches Einkommen;760,269113556662
2011;Anger-Crottendorf;Persoenliches Einkommen;1036,08326643794
2011;Sellerhausen-Stuenz;Persoenliches Einkommen;966,031591614398
2011;Paunsdorf;Persoenliches Einkommen;952,221711507292
2011;Heiterblick;Persoenliches Einkommen;1290,13999439191
2011;Moelkau;Persoenliches Einkommen;1210,10125715544
2011;Engelsdorf;Persoenliches Einkommen;1172,7805470797
2011;Baalsdorf;Persoenliches Einkommen;1187,2629588148
2011;Althen-Kleinpoesna;Persoenliches Einkommen;1142,1556754857
2011;Reudnitz-Thonberg;Persoenliches Einkommen;854,039697968048
2011;Stoetteritz;Persoenliches Einkommen;1049,7576702688
2011;Probstheida;Persoenliches Einkommen;1106,592797064
2011;Meusdorf;Persoenliches Einkommen;988,702247739471
2011;Liebertwolkwitz;Persoenliches Einkommen;1118,4785540424
2011;Holzhausen;Persoenliches Einkommen;1141,15295702758
2011;Suedvorstadt;Persoenliches Einkommen;1157,42380208836
2011;Connewitz;Persoenliches Einkommen;1076,68510337047
2011;Marienbrunn;Persoenliches Einkommen;1082,86720994423
2011;Loessnig;Persoenliches Einkommen;1046,24614547265
2011;Doelitz-Doesen,Persoenliches Einkommen,1149;"80949230727""";1412,16889493875
2011;Schleussig,Persoenliches Einkommen,1164;"56017966956""";1359,60813260693
2011;Plagwitz,Persoenliches Einkommen,1225;"02248661079""";1093,46501312475
2011;Kleinzschocher,Persoenliches Einkommen,960;"714072472308""";1076,64475640535
2011;Grosszschocher,Persoenliches Einkommen,1095;"87639447864""";1244,90029386024
2011;Knautkleeberg-Knauthain,Persoenliches Einkommen,1150;"6422073346""";1232,43729314193
2011;Hartmannsdorf-Knautnaundorf,Persoenliches Einkommen,1097;"4459160057""";1264,94830672396
2011;Schoenau,Persoenliches Einkommen,1044;"99386350261""";1162,33047745411
2011;Gruenau-Ost,Persoenliches Einkommen,1063;"50109594185""";988,637325724793
2011;Gruenau-Mitte,Persoenliches Einkommen,928;"989237574649""";1008,3882179928
2011;Gruenau-Siedlung,Persoenliches Einkommen,1198;"66100062977""";1179,55455614937
2011;Lausen-Gruenau,Persoenliches Einkommen,976;"025968696877""";1089,7928100014
2011;Gruenau-Nord,Persoenliches Einkommen,895;"112599069049""";949,678626197639
2011;Miltitz,Persoenliches Einkommen,1181;"71001321242""";1120,07331549898
2011;Lindenau,Persoenliches Einkommen,893;"739774758912""";925,505862028256
