Name,Einheit,2001,2010,2011,2014,2015,2016,2017,2018,2019,2020,Einkommen
Angebot von Kunst und Kultur,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,0,0,0,0,0,0,0,0,88,80.42905,74.72445
Angebot an öffentlichen Grünanlagen und Parks,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,74.22681,79.9493,77.76739,82.36041,82.44983,82,81,76,73,79.80988,72.67419
Ausbau der Naherholungsgebiete,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,75.53191,78.23167,76.83049,82.34336,81.74121,81,79,74,72,74.15688,67.11963
Angebot an Ausbildungsplätzen, Lehrstellen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,5.479452,20.33412,27.53854,52.15331,50.7291,51,59,57,67,60.32035,62.57126
Angebot an Arbeitsplätzen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,4.597701,12.84257,15.07579,30.27097,31.38615,41,49,52,58,52.16718,58.86508
Zustand der Gewässer,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,67.03297,65.87145,64.90051,72.46857,73.59661,72,70,61,57,60.94036,58.11076
Angebot an Freizeitsportanlagen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,45.67901,43.88445,43.18983,48.87578,43.05191,48,48,46,53,62.6572,54.25803
Sauberkeit der Luft,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,65.95744,59.4266,55.64891,54.91609,55.93086,52,48,46,36,48.79261,42.71861
Angebot an Kindereinrichtungen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,35,25.25957,18.65181,16.73925,19.60163,19,12,13,20,29.33488,33.42346
Versorgung mit Alten- und Pflegeheimen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,53.57143,42.00334,40.40012,35.11899,36.98875,33,21,22,20,31.76382,30.49202
Angebot an Jugendfreizeiteinrichtungen,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,10.29412,16.93523,16.56938,20.75214,20.29527,25,27,28,30,29.81147,24.315
öffentliche Sicherheit/Schutz vor Kriminalität,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,18.94737,19.2023,16.44449,13.96223,15.79414,17,18,21,26,25.11564,23.55387
Sauberkeit der Straßen und öffentlichen Plätze,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,26.26263,27.36865,28.54558,33.51049,35.41275,28,29,27,24,28.61588,21.53393
Straßenzustand,Anteil der Aussagen sehr zufrieden und zufrieden in Prozent,18.18182,6.060479,6.381885,9.313022,8.700287,10,9,11,15,15.50475,12.77368
